N,threads,trial,seconds,std_seconds,validate
2500,1,10,3.387418,,OK
2500,1,Average,3.362688,0.021405,OK
2500,2,1,1.688606,,OK
2500,2,2,1.685232,,OK
2500,2,3,1.659919,,OK
2500,2,4,1.668672,,OK
2500,2,5,1.658365,,OK
2500,2,6,1.658869,,OK
2500,2,7,1.678412,,OK
2500,2,8,1.668827,,OK
2500,2,9,1.657932,,OK
2500,2,10,1.674093,,OK
2500,2,Average,1.669893,0.010841,OK
2500,3,1,1.115763,,OK
2500,3,2,1.112029,,OK
2500,3,3,1.102227,,OK
2500,3,4,1.117562,,OK
2500,3,5,1.105128,,OK
2500,3,6,1.104424,,OK
2500,3,7,1.113761,,OK
2500,3,8,1.109308,,OK
2500,3,9,1.105301,,OK
2500,3,10,1.117588,,OK
2500,3,Average,1.110309,0.005505,OK
2500,4,1,0.842476,,OK
2500,4,2,0.842952,,OK
2500,4,3,0.834712,,OK
2500,4,4,0.840826,,OK
2500,4,5,0.831891,,OK
2500,4,6,0.835318,,OK
2500,4,7,0.845912,,OK
2500,4,8,0.844437,,OK
2500,4,9,0.839447,,OK
2500,4,10,0.844491,,OK
2500,4,Average,0.840246,0.004535,OK
2500,5,1,0.675116,,OK
2500,5,2,0.674957,,OK
2500,5,3,0.666228,,OK
2500,5,4,0.674660,,OK
2500,5,5,0.666088,,OK
2500,5,6,0.667344,,OK
2500,5,7,0.674135,,OK
2500,5,8,0.674191,,OK
2500,5,9,0.668670,,OK
2500,5,10,0.675379,,OK
2500,5,Average,0.671677,0.003825,OK
2500,6,1,0.565968,,OK
2500,6,2,0.562674,,OK
2500,6,3,0.557264,,OK
2500,6,4,0.563691,,OK
2500,6,5,0.558131,,OK
2500,6,6,0.557949,,OK
2500,6,7,0.565781,,OK
2500,6,8,0.563602,,OK
2500,6,9,0.558457,,OK
2500,6,10,0.562408,,OK
2500,6,Average,0.561593,0.003175,OK
2500,7,1,0.489023,,OK
2500,7,2,0.487893,,OK
2500,7,3,0.483841,,OK
2500,7,4,0.489812,,OK
2500,7,5,0.484396,,OK
2500,7,6,0.482119,,OK
2500,7,7,0.488763,,OK
2500,7,8,0.489641,,OK
2500,7,9,0.481649,,OK
2500,7,10,0.490127,,OK
2500,7,Average,0.486727,0.003180,OK
2500,8,1,0.429697,,OK
2500,8,2,0.430111,,OK
2500,8,3,0.425126,,OK
2500,8,4,0.429533,,OK
2500,8,5,0.426341,,OK
2500,8,6,0.423825,,OK
2500,8,7,0.429824,,OK
2500,8,8,0.429707,,OK
2500,8,9,0.422876,,OK
2500,8,10,0.430487,,OK
2500,8,Average,0.427753,0.002760,OK
2500,9,1,0.384742,,OK
2500,9,2,0.384690,,OK
2500,9,3,0.381442,,OK
2500,9,4,0.383905,,OK
2500,9,5,0.378844,,OK
2500,9,6,0.377079,,OK
2500,9,7,0.380625,,OK
2500,9,8,0.380292,,OK
2500,9,9,0.374928,,OK
2500,9,10,0.381591,,OK
2500,9,Average,0.380814,0.003062,OK
2500,10,1,0.344503,,OK
2500,10,2,0.344388,,OK
2500,10,3,0.342609,,OK
2500,10,4,0.346499,,OK
2500,10,5,0.342363,,OK
2500,10,6,0.341003,,OK
2500,10,7,0.346187,,OK
2500,10,8,0.347595,,OK
2500,10,9,0.340535,,OK
2500,10,10,0.346282,,OK
2500,10,Average,0.344196,0.002341,OK
3000,1,1,5.900067,,OK
3000,1,2,5.892142,,OK
3000,1,3,5.955340,,OK
3000,1,4,5.864600,,OK
3000,1,5,5.870164,,OK
3000,1,6,5.923200,,OK
3000,1,7,5.904304,,OK
3000,1,8,5.942106,,OK
3000,1,9,5.932607,,OK
3000,1,10,5.969181,,OK
3000,1,Average,5.915371,0.033292,OK
3000,2,1,2.941307,,OK
3000,2,2,2.949019,,OK
3000,2,3,2.930877,,OK
3000,2,4,2.945690,,OK
3000,2,5,2.931562,,OK
3000,2,6,2.933118,,OK
3000,2,7,2.915113,,OK
3000,2,8,2.932499,,OK
3000,2,9,2.937857,,OK
3000,2,10,2.922270,,OK
3000,2,Average,2.933931,0.009713,OK
3000,3,1,1.960039,,OK
3000,3,2,1.986473,,OK
3000,3,3,1.981318,,OK
3000,3,4,1.990982,,OK
3000,3,5,1.982118,,OK
3000,3,6,1.983564,,OK
3000,3,7,1.968922,,OK
3000,3,8,1.983073,,OK
3000,3,9,1.978704,,OK
3000,3,10,1.985651,,OK
3000,3,Average,1.980084,0.008635,OK
3000,4,1,1.479587,,OK
3000,4,2,1.481396,,OK
3000,4,3,1.470230,,OK
3000,4,4,1.491522,,OK
3000,4,5,1.485040,,OK
3000,4,6,1.477171,,OK
3000,4,7,1.472961,,OK
3000,4,8,1.483670,,OK
3000,4,9,1.488810,,OK
3000,4,10,1.495032,,OK
3000,4,Average,1.482542,0.007521,OK
3000,5,1,1.192697,,OK
3000,5,2,1.181107,,OK
3000,5,3,1.178061,,OK
3000,5,4,1.194672,,OK
3000,5,5,1.186082,,OK
3000,5,6,1.215984,,OK
3000,5,7,1.193415,,OK
3000,5,8,1.198737,,OK
3000,5,9,1.189443,,OK
3000,5,10,1.191735,,OK
3000,5,Average,1.192193,0.009922,OK
3000,6,1,0.993784,,OK
3000,6,2,0.996263,,OK
3000,6,3,0.987108,,OK
3000,6,4,0.986627,,OK
3000,6,5,0.987815,,OK
3000,6,6,0.997062,,OK
3000,6,7,0.989945,,OK
3000,6,8,0.996812,,OK
3000,6,9,0.997744,,OK
3000,6,10,0.997766,,OK
3000,6,Average,0.993093,0.004461,OK
3000,7,1,0.845504,,OK
3000,7,2,0.849422,,OK
3000,7,3,0.854084,,OK
3000,7,4,0.852984,,OK
3000,7,5,0.846861,,OK
3000,7,6,0.861659,,OK
3000,7,7,0.840832,,OK
3000,7,8,0.848884,,OK
3000,7,9,0.849406,,OK
3000,7,10,0.841145,,OK
3000,7,Average,0.849078,0.005895,OK
3000,8,1,0.744403,,OK
3000,8,2,0.749518,,OK
3000,8,3,0.744481,,OK
3000,8,4,0.748946,,OK
3000,8,5,0.737657,,OK
3000,8,6,0.752302,,OK
3000,8,7,0.743367,,OK
3000,8,8,0.747021,,OK
3000,8,9,0.748780,,OK
3000,8,10,0.749599,,OK
3000,8,Average,0.746607,0.004002,OK
3000,9,1,0.665196,,OK
3000,9,2,0.662958,,OK
3000,9,3,0.664034,,OK
3000,9,4,0.672241,,OK
3000,9,5,0.665101,,OK
3000,9,6,0.668174,,OK
3000,9,7,0.665157,,OK
3000,9,8,0.671116,,OK
3000,9,9,0.673052,,OK
3000,9,10,0.667307,,OK
3000,9,Average,0.667434,0.003406,OK
3000,10,1,0.610787,,OK
3000,10,2,0.605576,,OK
3000,10,3,0.602845,,OK
3000,10,4,0.610627,,OK
3000,10,5,0.608203,,OK
3000,10,6,0.600259,,OK
3000,10,7,0.604580,,OK
3000,10,8,0.607175,,OK
3000,10,9,0.605076,,OK
3000,10,10,0.601969,,OK
3000,10,Average,0.605710,0.003346,OK
